mggid	ship	cruise	sample	device_code	device	year	month	day	time	latdeg	latmin	latminhun	ns	londeg	lonmin	lonminhun	lonew	latlon_orig	lat	lon	water_depth	core_length	device2	comments
03995010	Unknown Platform	MAFLADM2	4223	300	core, box	1977	11	16		25	40	07	N	84	15	10	W		25.6678	-84.2517	168	0			
03995010	Unknown Platform	MAFLADM2	4227	300	core, box	1977	11	16		25	40	07	N	84	15	10	W		25.6678	-84.2517	168	0			
03995010	Unknown Platform	MAFLADM2	4229	300	core, box	1977	11	16		25	40	07	N	84	15	10	W		25.6678	-84.2517	168	0			
03995010	Unknown Platform	MAFLADM2	4201	300	core, box	1977	11	15		27	37	15	N	83	53	50	W		27.6192	-83.8917	50	0			
03995010	Unknown Platform	MAFLADM2	4161	300	core, box	1977	11	15		27	24	20	N	84	07	30	W		27.4033	-84.1217	75	0			
03995010	Unknown Platform	MAFLADM2	4163	300	core, box	1977	11	15		27	24	20	N	84	07	30	W		27.4033	-84.1217	75	0			
03995010	Unknown Platform	MAFLADM2	4151	300	core, box	1977	11	15		27	03	50	N	84	13	80	W		27.0583	-84.23	121	0			
03995010	Unknown Platform	MAFLADM2	4158	300	core, box	1977	11	15		27	24	20	N	84	07	30	W		27.4033	-84.1217	75	0			
03995010	Unknown Platform	MAFLADM2	4138	300	core, box	1977	11	07		29	35	03	N	87	20	02	W		29.5838	-87.3337	98	0			
03995010	Unknown Platform	MAFLADM2	4123	300	core, box	1977	11	06		29	36	52	N	87	27	05	W		29.6087	-87.4508	68	0			
03995010	Unknown Platform	MAFLADM2	4133	300	core, box	1977	11	06		29	35	03	N	87	20	02	W		29.5838	-87.3337	98	0			
03995010	Unknown Platform	MAFLADM2	4135	300	core, box	1977	11	06		29	35	03	N	87	20	02	W		29.5838	-87.3337	98	0			
03995010	Unknown Platform	MAFLADM2	4097	300	core, box	1977	11	06		29	43	47	N	87	54	50	W		29.7245	-87.9083	37	0			
03995010	Unknown Platform	MAFLADM2	4054	300	core, box	1977	11	04		29	55	52	N	88	33	43	W		29.9253	-88.5572	24	0			
09995032	Multiple	938029	11	502	core, piston, ewing	1968	05	29		45	52	2	N	145	00	8	E	m	45.087	145.0013	3188	457	EWING PISTON		
09995026	Silas Bent	939011	1015-42	0	unknown	1969	05	08		29	29	4	N	128	54	5	E	m	29.049	128.0908	951		NO INFO AVAIL		
